"author"	"published_at"	"updated_at"	"like_count"	"text"
"@copper1206"	"2025-02-14T05:25:00Z"	"2025-02-14T05:25:00Z"	"0"	"Wishing the nfl had captions that werent audio generated,,, yall have enough of a budget for that"
"@tianalightbourne7658"	"2025-02-14T05:24:50Z"	"2025-02-14T05:24:50Z"	"0"	"The devil yal worship cant save yal but mk yal too fall down hard"
"@Phil_Jumaa"	"2025-02-14T05:24:26Z"	"2025-02-14T05:24:26Z"	"2"	"Mustaaaaaaard!!!!"
"@HotMessMomma_"	"2025-02-14T05:24:22Z"	"2025-02-14T05:24:22Z"	"1"	"Mic 🎤 mfing DROP"
"@youmatterlt"	"2025-02-14T05:24:17Z"	"2025-02-14T05:24:17Z"	"2"	"It gets better and better and best... 🌟🌟🌟🌟"
"@MiriamTerry-d8q"	"2025-02-14T05:23:59Z"	"2025-02-14T05:23:59Z"	"0"	"Fantastic explanation, thank you!"
"@ChristyQuinny-j8b"	"2025-02-14T05:23:59Z"	"2025-02-14T05:23:59Z"	"0"	"Great job, this video was very useful!"
"@Mr.Clutch415"	"2025-02-14T05:23:55Z"	"2025-02-14T05:23:55Z"	"0"	"The Real MVP was Kendrick Lamar. He also stole the show. Way to rep Cali."
"@smrititiwari8340"	"2025-02-14T05:23:35Z"	"2025-02-14T05:23:35Z"	"2"	"Guess whos back, BACK AGAIN!"
"@HotMessMomma_"	"2025-02-14T05:22:38Z"	"2025-02-14T05:22:38Z"	"0"	"Selenaaaaaaaaa"
"@JessieRobideau-lo9ro"	"2025-02-14T05:22:37Z"	"2025-02-14T05:22:37Z"	"0"	"Still waiting here for a good super bowl Halftime. (Metallica/Disturbed, Killswitch, or even iron Maiden would be epic)"
"@COMMONFOLKMUSIC"	"2025-02-14T05:22:17Z"	"2025-02-14T05:22:17Z"	"0"	"IM THE FIRST PERSON TO SAY THE 0616 was spelled out during A Minor you heard it here first ! MUSTAAAAAAARD!"
"@AnjaliPhukon-i5e"	"2025-02-14T05:22:15Z"	"2025-02-14T05:22:15Z"	"0"	"Great job, this video was very useful!"
"@_xoxomaggie_"	"2025-02-14T05:22:14Z"	"2025-02-14T05:22:14Z"	"0"	"Been walking to the fridge like Kendrick"
"@GymAndSun"	"2025-02-14T05:22:03Z"	"2025-02-14T05:22:03Z"	"1"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=708"">11:48</a> the moment we were all waiting for 🌭"
"@simmygrewans9710"	"2025-02-14T05:22:01Z"	"2025-02-14T05:22:01Z"	"1"	"ICONIC💯"
"@valar5028"	"2025-02-14T05:21:59Z"	"2025-02-14T05:21:59Z"	"0"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=60"">01:00</a> Big As What"
"@SagguVeera"	"2025-02-14T05:21:52Z"	"2025-02-14T05:21:52Z"	"0"	"This was a Concert, not a half time show!"
"@nikifmradio"	"2025-02-14T05:21:48Z"	"2025-02-14T05:21:48Z"	"2"	"This is my fourth or fifth time coming back &amp; rewatching this 😭😂🔥"
"@Sarah-y5w"	"2025-02-14T05:21:08Z"	"2025-02-14T05:21:08Z"	"1"	"I died and went to heaven watching this ❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉"
"@KelvinHaiop-pc8oz"	"2025-02-14T05:20:50Z"	"2025-02-14T05:20:50Z"	"0"	"The crowd makes no noise that stadium went crazy on MINNOORR.   ^^^^^"
"@1recklizz"	"2025-02-14T05:20:43Z"	"2025-02-14T05:20:43Z"	"1"	"🔥🔥🔥"
"@brigitaspiridonoviene7715"	"2025-02-14T05:20:37Z"	"2025-02-14T05:20:37Z"	"0"	"These jeans are more memorable than any other outfit"
"@inactive0125"	"2025-02-14T05:20:18Z"	"2025-02-14T05:20:18Z"	"1"	"kendrick ur the greatest"
"@8bit1992"	"2025-02-14T05:19:58Z"	"2025-02-14T05:19:58Z"	"0"	"Worst halftime show ever"
"@sacharios5858"	"2025-02-14T05:19:27Z"	"2025-02-14T05:19:27Z"	"2"	"❤❤❤❤"
"@allana6960"	"2025-02-14T05:19:25Z"	"2025-02-14T05:19:25Z"	"0"	"Tbh hes crazy for remembering the lyrics"
"@childofgod8518"	"2025-02-14T05:19:13Z"	"2025-02-14T05:19:13Z"	"2"	"Drake literally ashes now"
"@BestCenz"	"2025-02-14T05:19:11Z"	"2025-02-14T05:20:48Z"	"0"	"The meaning of this whole concert is either about politics or just dissin drake but this part <a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=204"">3:24</a>  im startin having doubts"
"@palashsarkar2657"	"2025-02-14T05:19:05Z"	"2025-02-14T05:19:05Z"	"0"	"Really appreciate the insights in this video."
"@Official_United_State_America"	"2025-02-14T05:19:02Z"	"2025-02-14T05:19:02Z"	"2"	"A MINORRRRRRR🗣️🗣️🗣️🔥🔥🔥"
"@HiruSheikh-c6k"	"2025-02-14T05:18:56Z"	"2025-02-14T05:18:56Z"	"1"	"Fantastic video, really appreciate your effort!"
"@josephwright2536"	"2025-02-14T05:18:43Z"	"2025-02-14T05:18:43Z"	"3"	"52 yr old white boy from Kentucky and i thought this show was fire !! Kendrick is a true artist for sure !"
"@oskarreflink2902"	"2025-02-14T05:18:24Z"	"2025-02-14T05:18:24Z"	"0"	"what drake thinks about this"
"@SadiaBuhari"	"2025-02-14T05:18:03Z"	"2025-02-14T05:18:03Z"	"0"	"Thank you for this video, very enlightening!"
"@Kadditheproducer"	"2025-02-14T05:18:00Z"	"2025-02-14T05:18:00Z"	"1"	"Lil Wayne could never."
"@yourmajestywilldo6472"	"2025-02-14T05:17:07Z"	"2025-02-14T05:19:30Z"	"4"	"They tried to RIG the GAME, but you can’t fake INFLUENCE!!!! They tried to ruin his show!!!! And he still performed. IYKTYK!! <a href=""http://www.youtube.com/results?search_query=%23teamhiphopwithamessageofpurpose"">#TeamHipHopWithAMessageOfPurpose</a> <a href=""http://www.youtube.com/results?search_query=%23godblesstheworld"">#GodBlessTheWorld</a> <a href=""http://www.youtube.com/results?search_query=%23godblesskendrick"">#GodBlessKendrick</a> <a href=""http://www.youtube.com/results?search_query=%23standtogether"">#StandTogether</a>"
"@lizbethrodriguez9767"	"2025-02-14T05:16:49Z"	"2025-02-14T05:16:49Z"	"0"	"En su afan de querer hacer mucho solo hacen porquerías  Y el trumph se queja de las drogas y su gente es la oeor"
"@ShericeMckittrick"	"2025-02-14T05:16:48Z"	"2025-02-14T05:16:48Z"	"0"	"Great tips, thanks for sharing!"
"@AryanBhowal"	"2025-02-14T05:16:43Z"	"2025-02-14T05:16:43Z"	"0"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=653"">10:53</a>  Bro really took his name"
"@GymAndSun"	"2025-02-14T05:16:37Z"	"2025-02-14T05:16:37Z"	"1"	"<a href=""https://www.youtube.com/watch?v=KDorKy-13ak&amp;t=443"">7:23</a> Dot and SZA performed <i>Luther</i> pitch perfect down to the smallest detail. 🔥"
"@nortnort4776"	"2025-02-14T05:16:34Z"	"2025-02-14T05:16:34Z"	"0"	"Kendrick lamar is a once in a lifetime artist I can imagine myself telling my kids about this guy"
"@ItsCalciumYT"	"2025-02-14T05:16:11Z"	"2025-02-14T05:16:11Z"	"1"	"Imagine if this Was Juice WRLD &amp; XXXTENTACION 😱"
"@sultonburkhanov6892"	"2025-02-14T05:16:01Z"	"2025-02-14T05:16:01Z"	"0"	"EMINEM ❤"
"@mauriciodelrosario2322"	"2025-02-14T05:15:44Z"	"2025-02-14T05:15:44Z"	"0"	"🤣🔥la sonrisa en Hey Drake🤣🔥"
"@URMI-s3z"	"2025-02-14T05:15:29Z"	"2025-02-14T05:15:29Z"	"0"	"Great video! Really enjoyed it."
"@kylestein8378"	"2025-02-14T05:14:53Z"	"2025-02-14T05:14:53Z"	"0"	"The crowd at &quot;A minor&quot; was unity."
"@EathanrPodeliya"	"2025-02-14T05:14:36Z"	"2025-02-14T05:14:36Z"	"0"	"This was exactly what I needed, thanks!"
"@TumpaAktar-pt7hu"	"2025-02-14T05:14:10Z"	"2025-02-14T05:14:10Z"	"0"	"Great video! Really enjoyed it."
"@brittanylongtine5951"	"2025-02-14T05:14:09Z"	"2025-02-14T05:14:09Z"	"1"	"I aspire to reach my full hating potential so I can go places"
"@SleepysAutomotive"	"2025-02-14T05:13:58Z"	"2025-02-14T05:13:58Z"	"0"	"Yes!!!!"
"@lyamfey8906"	"2025-02-14T05:13:46Z"	"2025-02-14T05:13:46Z"	"0"	"This is crazy😂😂"
"@thathabsfan6478"	"2025-02-14T05:13:07Z"	"2025-02-14T05:13:07Z"	"0"	"I don’t care what racists and drake glazers say this performance was one of the greatest in Super Bowl history with Micheal and prince"
"@darreneffle4118"	"2025-02-14T05:12:54Z"	"2025-02-14T05:12:54Z"	"0"	"Wow. The shot heard round the world. Def put hip hop on a new level of acceptance. Now my granny is bumping it."
"@shannonelderkin9645"	"2025-02-14T05:12:35Z"	"2025-02-14T05:12:35Z"	"0"	"Them Bell bottoms are Hott AF on him too..! 👑💯🔥"
"@alensebastian4677"	"2025-02-14T05:12:23Z"	"2025-02-14T05:12:23Z"	"0"	"Cant believe you guys say this is better than Mjs performance 😮"
"@ModeFin"	"2025-02-14T05:12:01Z"	"2025-02-14T05:12:01Z"	"2"	"Nas and Jay Z crawled so this could beef could run"
"@shannonelderkin9645"	"2025-02-14T05:11:25Z"	"2025-02-14T05:11:25Z"	"0"	"I pray no haters take him out..! Legit too Legit to Quit..!! 👑💯💚💛❤️🔥🌟"
"@radheshyamkasdey5068"	"2025-02-14T05:11:19Z"	"2025-02-14T05:11:19Z"	"0"	"You explained this so well, thank you!"
"@MinaILDARABADI"	"2025-02-14T05:11:16Z"	"2025-02-14T05:11:16Z"	"0"	"Very well done, appreciate this video!"
"@ChunkzzTea"	"2025-02-14T05:11:08Z"	"2025-02-14T05:11:08Z"	"0"	"It was a good performance."
"@CharlesALLISON-k5f"	"2025-02-14T05:10:49Z"	"2025-02-14T05:10:49Z"	"0"	"This K-dot is a H-bomb!"
"@kceen10"	"2025-02-14T05:10:28Z"	"2025-02-14T05:10:28Z"	"0"	"🤎🤎🤎🤎🤎"
